,units_min,units_max,course_number,course_name,course_subject,instructor,quarters
0,1,1,1U,Practical Unix,CS,,"['Autumn', 'Winter']"
1,1,1,7,Personal Finance for Engineers,CS,"Nash, A.",['Autumn']
2,1,1,9,Problem-Solving for the CS Technical Interview,CS,"Tullis, I.","['Spring', 'Autumn']"
3,2,2,11SI,How to Make VR: Introduction to Virtual Reality Design and Development,CS,"Borenstein, J.",['Spring']
4,1,1,12SI,Introduction to Mobile Augmented Reality Design and Development,CS,"Borenstein, J.",['Autumn']
5,2,2,21SI,AI for Social Good,CS,"Piech, C.",['Spring']
6,1,1,22A,The Social & Economic Impact of Artificial Intelligence (INTLPOL 200),CS,"Kaplan, J.",['Winter']
7,4,4,24,"Minds and Machines (LINGUIST 35, PHIL 99, PSYCH 35, SYMSYS 1, SYMSYS 200)",CS,"Srirangarajan, T.","['Autumn', 'Winter']"
8,1,1,25,Transformers United,CS,"Manning, C.",['Autumn']
9,2,2,41,Hap.py Code: The Python Programming Language,CS,"Cain, J.",['Spring']
10,3,3,44N,Great Ideas in Graphics,CS,"James, D.",['Autumn']
11,3,3,46N,Data-Driven Decisions and Discovery,CS,"Widom, J.",['Spring']
12,2,2,47,Cross-Platform Mobile Development,CS,"Landay, J.","['Spring', 'Winter']"
13,3,3,49N,Using Bits to Control Atoms,CS,"Engler, D.",['Autumn']
14,2,2,51,CS + Social Good Studio: Designing Social Impact Projects,CS,"Cain, J.",['Winter']
15,2,2,52,CS + Social Good Studio: Implementing Social Good Projects,CS,"Cain, J.",['Spring']
16,3,3,56N,Great Discoveries and Inventions in Computing,CS,"Hennessy, J.",['Winter']
17,3,3,57N,Randomness: Computational and Philosophical Approaches (PHIL 3N),CS,"Icard, T.",['Winter']
18,2,2,59SI,Quantum Computing: Open-Source Project Experience,CS,"Bouland, A.",['Spring']
19,3,3,80Q,Race and Gender in Silicon Valley (AFRICAAM 80Q),CS,"Lee, C.",['Autumn']
20,3,3,83,Playback Theater,CS,"Reingold, O.",['Winter']
21,2,2,91SI,Digital Canvas: An Introduction to UI/UX Design,CS,"Cain, J.",['Spring']
22,1,1,100A,Problem-solving Lab for CS106A,CS,"Parlante, N.","['Spring', 'Autumn', 'Winter']"
23,1,1,100B,Problem-solving Lab for CS106B,CS,"Schwarz, K.","['Spring', 'Autumn', 'Winter']"
24,3,5,103,Mathematical Foundations of Computing,CS,"Schwarz, K.","['Summer', 'Spring', 'Autumn', 'Winter']"
25,1,1,103A,Mathematical Problem-solving Strategies,CS,"Lee, C.","['Spring', 'Winter']"
26,3,5,105,Introduction to Computers,CS,"Young, P.","['Spring', 'Autumn']"
27,3,5,106A,Programming Methodology,CS,"Parlante, N.","['Spring', 'Autumn', 'Winter', 'Summer']"
28,3,5,106B,Programming Abstractions,CS,"Zelenski, J.","['Summer', 'Spring', 'Autumn', 'Winter']"
29,3,3,106E,Exploration of Computing,CS,"Young, P.",['Spring']
30,1,1,106L,Standard C++ Programming Laboratory,CS,"Schwarz, K.","['Spring', 'Autumn', 'Winter']"
31,1,1,106M,Enrichment Adventures in Programming Abstractions,CS,"Zelenski, J.",['Autumn']
32,1,1,106S,Coding for Social Good,CS,"Cain, J.","['Spring', 'Autumn', 'Winter']"
33,3,5,107,Computer Organization and Systems,CS,"Troccoli, N.","['Spring', 'Autumn', 'Winter']"
34,1,1,107A,Problem-solving Lab for CS107,CS,"Troccoli, N.","['Spring', 'Autumn', 'Winter']"
35,3,5,107E,Computer Systems from the Ground Up,CS,"Levis, P.","['Spring', 'Autumn', 'Winter']"
36,3,4,108,Object-Oriented Systems Design,CS,"Young, P.",['Winter']
37,3,5,109,Introduction to Probability for Computer Scientists,CS,"Cain, J.","['Summer', 'Spring', 'Autumn', 'Winter']"
38,1,1,109A,Problem-solving Lab for CS109,CS,"Piech, C.","['Spring', 'Autumn', 'Winter']"
39,3,5,110,Principles of Computer Systems,CS,"Cain, J.","['Autumn', 'Winter']"
40,1,1,110A,Problem Solving Lab for CS110,CS,"Cain, J.","['Autumn', 'Winter']"
41,2,2,110L,Safety in Systems Programming,CS,"Rossman, T.","['Autumn', 'Winter']"
42,3,5,111,Operating Systems Principles,CS,"Cain, J.",['Spring']
43,1,1,111A,Problem Solving Lab for CS111,CS,"Cain, J.",['Spring']
44,3,3,112,Operating systems kernel implementation project,CS,"Mazieres, D.",['Winter']
45,3,3,114,Selected Reading of Computer Science Research,CS,"Levis, P.",['Spring']
46,3,4,124,"From Languages to Information (LINGUIST 180, LINGUIST 280)",CS,"Jurafsky, D.",['Autumn']
47,3,4,129,Applied Machine Learning,CS,"Ng, A.",['Spring']
48,3,4,131,Computer Vision: Foundations and Applications,CS,"Niebles Duque, J.",['Autumn']
49,3,5,140,Operating Systems and Systems Programming,CS,"Mazieres, D.",['Winter']
50,3,4,140E,Operating systems design and implementation,CS,"Engler, D.",['Winter']
51,3,3,142,Web Applications,CS,"Rosenblum, M.","['Spring', 'Winter']"
52,3,4,143,Compilers,CS,"Kjoelstad, F.",['Spring']
53,3,4,144,Introduction to Computer Networking,CS,"Winstein, K.",['Autumn']
54,3,4,145,Data Management and Data Systems,CS,"Shivakumar, N.",['Autumn']
55,3,5,147,Introduction to Human-Computer Interaction Design,CS,"Landay, J.",['Winter']
56,3,4,148,Introduction to Computer Graphics and Imaging,CS,"Fedkiw, R.","['Summer', 'Autumn']"
57,3,4,149,Parallel Computing,CS,"Fatahalian, K.",['Autumn']
58,3,3,151,Logic Programming,CS,"Genesereth, M.",['Spring']
59,3,3,152,Trust and Safety Engineering,CS,"Stamos, A.",['Winter']
60,3,4,154,Introduction to the Theory of Computation,CS,"Reingold, O.",['Autumn']
61,3,3,155,Computer and Network Security,CS,"Boneh, D.",['Spring']
62,3,3,157,Computational Logic,CS,"Genesereth, M.",['Autumn']
63,3,5,161,Design and Analysis of Algorithms,CS,"Rubinstein, A.","['Summer', 'Autumn', 'Winter']"
64,1,1,161A,Problem-Solving Lab for CS161,CS,"Rubinstein, A.","['Autumn', 'Winter']"
65,3,3,163,The Practice of Theory Research,CS,"Reingold, O.",['Winter']
66,3,4,166,Data Structures,CS,"Schwarz, K.",['Spring']
67,3,4,168,The Modern Algorithmic Toolbox,CS,"Valiant, G.",['Spring']
