,units_min,units_max,course_number,course_name,course_subject,quarters
0,2,2,11SC,"Dream  It, Build It!",EE,['Summer']
1,3,3,12Q,"Science, Technology, Art",EE,['Spring']
2,3,3,14N,Things about Stuff,EE,['Autumn']
3,3,3,15Q,The Art and Science of Engineering Design,EE,['Winter']
4,3,3,17N,Engineering the Micro and Nano Worlds: From Chips to Genes,EE,['Spring']
5,5,5,42,Introduction to Electromagnetics and Its Applications (ENGR 42),EE,['Spring']
6,4,4,65,Modern Physics for Engineers,EE,['Spring']
7,3,3,84N,From the Internet for People to the Internet of Things,EE,['Winter']
8,1,1,100,The Electrical Engineering Profession,EE,['Autumn']
9,4,4,101A,Circuits I,EE,['Winter']
10,4,4,101B,Circuits II,EE,['Spring']
11,4,4,102A,Signal Processing and Linear Systems I,EE,"['Summer', 'Winter']"
12,4,4,102B,Signal Processing and Linear Systems II,EE,['Spring']
13,3,5,104,Introduction to Machine Learning (CME 107),EE,['Spring']
14,4,4,108,Digital System Design,EE,"['Winter', 'Autumn']"
15,4,4,109,Digital Systems Design Lab,EE,['Spring']
16,3,4,114,Fundamentals of Analog Integrated Circuit Design (EE 214A),EE,['Autumn']
17,3,3,116,Semiconductor Devices for Energy and Electronics,EE,['Autumn']
18,3,3,124,Introduction to Neuroelectrical Engineering,EE,['Winter']
19,3,4,133,Analog Communications Design Laboratory (EE 233),EE,['Winter']
20,4,4,134,Introduction to Photonics,EE,['Autumn']
21,3,3,142,Engineering Electromagnetics,EE,['Winter']
22,3,4,153,Power Electronics (EE 253),EE,['Autumn']
23,3,3,157,"Electric Motors for Renewable Energy, Robotics, and Electric Vehicles",EE,['Spring']
24,3,4,160A,"Principles of Robot Autonomy I (AA 174A, AA 274A, CS 237A, EE 260A)",EE,['Autumn']
25,3,4,168,Introduction to Digital Image Processing,EE,['Winter']
26,3,4,178,Probabilistic Systems Analysis,EE,"['Spring', 'Autumn']"
27,3,3,179,Analog and Digital Communication Systems,EE,['Autumn']
28,4,4,180,Digital Systems Architecture,EE,['Winter']
29,3,3,185,Interactive Light Sculpture Project,EE,['Autumn']
30,1,15,190,Special Studies or Projects in Electrical Engineering,EE,"['Summer', 'Winter', 'Spring', 'Autumn']"
31,1,15,191,Special Studies and Reports in Electrical Engineering,EE,"['Summer', 'Winter', 'Autumn', 'Spring']"
32,1,1,191A,Special Studies and Reports in Electrical Engineering,EE,"['Winter', 'Autumn', 'Spring']"
33,3,10,191W,Special Studies and Reports in Electrical Engineering (WIM),EE,"['Summer', 'Winter', 'Autumn', 'Spring']"
34,1,3,195,Electrical Engineering Instruction,EE,"['Winter', 'Autumn', 'Spring']"
35,3,3,205,Product Management for Electrical Engineers and Computer Scientists,EE,['Autumn']
36,3,3,207,Neuromorphics: Brains in Silicon (BIOE 313),EE,['Spring']
37,3,3,212,Integrated Circuit Fabrication Processes,EE,['Autumn']
38,3,4,214A,Fundamentals of Analog Integrated Circuit Design (EE 114),EE,['Autumn']
39,3,3,214B,Advanced Integrated Circuit Design,EE,['Winter']
40,3,3,216,Principles and Models of Semiconductor Devices,EE,['Autumn']
41,3,3,218,Power Semiconductor Devices and Technology,EE,['Winter']
42,3,3,222,Applied Quantum Mechanics I (MATSCI 201),EE,['Autumn']
