,units_min,units_max,course_number,course_name,course_subject,quarters
0,1,1,7,Personal Finance for Engineers,CS,['Autumn']
1,2,2,11SI,How to Make VR: Introduction to Virtual Reality Design and Development,CS,['Winter']
2,1,1,12SI,Introduction to Mobile Augmented Reality Design and Development,CS,['Spring']
3,2,2,21SI,AI for Social Good,CS,"['Winter', 'Spring']"
4,1,1,22A,The Social & Economic Impact of Artificial Intelligence (INTLPOL 200),CS,['Winter']
5,4,4,24,"Minds and Machines (LINGUIST 35, PHIL 99, PSYCH 35, SYMSYS 1, SYMSYS 200)",CS,"['Winter', 'Autumn']"
6,1,1,26SI,Beyond NLP: CS & Language through Text Input & Design,CS,['Autumn']
7,3,3,31N,Counterfactuals: The Science of What Ifs?,CS,['Spring']
8,2,2,41,Hap.py Code: The Python Programming Language,CS,['Spring']
9,3,3,44N,Great Ideas in Graphics,CS,['Autumn']
10,3,3,46N,Working with Data: Delights and Doubts,CS,"['Autumn', 'Spring']"
11,2,2,47,Cross-Platform Mobile Development,CS,['Autumn']
12,1,1,64,Computation for Puzzles and Games,CS,['Autumn']
13,3,3,80Q,Race and Gender in Silicon Valley (AFRICAAM 80Q),CS,['Autumn']
14,3,3,83N,Playback Theater,CS,['Winter']
15,1,1,100A,Problem-solving Lab for CS106A,CS,"['Winter', 'Autumn', 'Spring']"
16,1,1,100B,Problem-solving Lab for CS106B,CS,"['Winter', 'Autumn', 'Spring']"
17,3,5,103,Mathematical Foundations of Computing,CS,"['Summer', 'Winter', 'Autumn', 'Spring']"
18,1,1,103A,Mathematical Problem-solving Strategies,CS,"['Winter', 'Autumn']"
19,3,5,105,Introduction to Computers,CS,"['Autumn', 'Spring']"
20,3,5,106A,Programming Methodology,CS,"['Summer', 'Winter', 'Autumn', 'Spring']"
21,3,5,106AX,Programming Methodologies in JavaScript and Python (Accelerated),CS,['Autumn']
22,3,5,106B,Programming Abstractions,CS,"['Summer', 'Winter', 'Autumn', 'Spring']"
23,3,3,106E,Exploration of Computing,CS,['Spring']
24,1,1,106L,Standard C++ Programming Laboratory,CS,['Autumn']
25,1,1,106M,Enrichment Adventures in Programming Abstractions,CS,['Autumn']
26,1,1,106S,Coding for Social Good,CS,"['Winter', 'Spring', 'Autumn']"
27,3,5,107,Computer Organization and Systems,CS,"['Winter', 'Autumn', 'Spring']"
28,1,1,107A,Problem-solving Lab for CS107,CS,"['Winter', 'Autumn', 'Spring']"
29,3,5,107E,Computer Systems from the Ground Up,CS,"['Winter', 'Autumn']"
30,3,4,108,Object-Oriented Systems Design,CS,['Winter']
31,3,5,109,Introduction to Probability for Computer Scientists,CS,"['Summer', 'Winter', 'Autumn', 'Spring']"
32,1,1,109A,Problem-solving Lab for CS109,CS,"['Winter', 'Autumn']"
33,3,5,111,Operating Systems Principles,CS,"['Winter', 'Autumn', 'Spring']"
34,1,1,111A,Problem Solving Lab for CS111,CS,"['Winter', 'Autumn', 'Spring']"
35,3,3,112,Operating systems kernel implementation project,CS,['Winter']
36,3,4,124,"From Languages to Information (LINGUIST 180, LINGUIST 280)",CS,['Winter']
37,3,4,129,Applied Machine Learning,CS,['Winter']
