,Course,Category,Subcategory
0,CS 103,foundation,logic
1,CS 109,foundation,probability
2,STATS 116,foundation,probability
3,CME 106,foundation,probability
4,MS&E 220,foundation,probability
5,EE 178,foundation,probability
6,CS 161,foundation,algorithm
7,CS 107,foundation,organ
8,CS 107E,foundation,organ
9,CS 110,foundation,systems
10,CS 111,foundation,systems
11,CS 140,significant implementation,significant implementation
12,CS 212,significant implementation,significant implementation
13,CS 140E,significant implementation,significant implementation
14,CS 143,significant implementation,significant implementation
15,CS 144,significant implementation,significant implementation
16,CS 145,significant implementation,significant implementation
17,CS 148,significant implementation,significant implementation
18,CS 151,significant implementation,significant implementation
19,CS 190,significant implementation,significant implementation
20,CS 210B,significant implementation,significant implementation
21,CS 221,significant implementation,significant implementation
22,CS 227B,significant implementation,significant implementation
23,CS 231N,significant implementation,significant implementation
24,CS 243,significant implementation,significant implementation
25,CS 248,significant implementation,significant implementation
26,CS 248A,significant implementation,significant implementation
27,CS 341,significant implementation,significant implementation
28,CS 154,breadth,theory
29,CS 157,breadth,theory
30,CS 168,breadth,theory
31,CS 254,breadth,theory
32,CS 261,breadth,theory
33,CS 265,breadth,theory
34,EE 364A,breadth,theory
35,EE 364B,breadth,theory
36,PHIL 251,breadth,theory
37,CS 140,breadth,systems
38,CS 140E,breadth,systems
39,CS 143,breadth,systems
40,CS 144,breadth,systems
41,CS 149,breadth,systems
42,CS 212,breadth,systems
43,CS 242,breadth,systems
44,CS 243,breadth,systems
45,CS 244,breadth,systems
46,CS 244B,breadth,systems
47,CS 295,breadth,systems
48,CS 316,breadth,systems
49,CS 358,breadth,systems
50,EE 180,breadth,systems
51,EE 282,breadth,systems
52,EE 382E,breadth,systems
53,CS 145,breadth,applications
54,CS 147,breadth,applications
55,CS 148,breadth,applications
56,CS 155,breadth,applications
57,CS 173,breadth,applications
58,CS 221,breadth,applications
59,CS 223A,breadth,applications
60,CS 224N,breadth,applications
61,CS 224U,breadth,applications
62,CS 224W,breadth,applications
63,CS 227B,breadth,applications
64,CS 228,breadth,applications
65,CS 229,breadth,applications
66,CS 229M,breadth,applications
67,CS 231A,breadth,applications
68,CS 231N,breadth,applications
69,CS 234,breadth,applications
70,CS 236,breadth,applications
71,CS 237A,breadth,applications
72,CS 245,breadth,applications
73,CS 246,breadth,applications
74,CS 247A,breadth,applications
75,CS 247B,breadth,applications
76,CS 247G,breadth,applications
77,CS 247I,breadth,applications
78,CS 247S,breadth,applications
79,CS 248,breadth,applications
80,CS 248A,breadth,applications
81,CS 251,breadth,applications
82,CS 255,breadth,applications
83,CS 273A,breadth,applications
84,CS 273B,breadth,applications
85,CS 279,breadth,applications
86,CS 345,breadth,applications
87,CS 347,breadth,applications
88,CS 348A,breadth,applications
89,CS 348B,breadth,applications
90,CS 348C,breadth,applications
91,CS 348E,breadth,applications
92,CS 348I,breadth,applications
93,CS 348K,breadth,applications
94,CS 355,breadth,applications
95,CS 356,breadth,applications
96,CS 373,breadth,applications
97,CS 152,breadth,society
98,CS 181,breadth,society
99,CS 182,breadth,society
100,CS 256,breadth,society
101,CS 281,breadth,society
102,CS 329T,breadth,society
103,CS 384,breadth,society
104,AMSTUD 133,breadth,society
105,AMSTUD 145,breadth,society
106,ANTHRO 132D,breadth,society
107,COMM 118S,breadth,society
108,COMM 120W,breadth,society
109,COMM 124,breadth,society
110,COMM 130D,breadth,society
111,COMM 145,breadth,society
112,COMM 154,breadth,society
113,COMM 166,breadth,society
114,COMM 186W,breadth,society
115,COMM 230A,breadth,society
116,COMM 230B,breadth,society
117,COMM 230C,breadth,society
118,DESINST 215,breadth,society
119,DESINST 240,breadth,society
120,EARTHSYS 213,breadth,society
121,ENGLISH 184D,breadth,society
122,ENGR 131,breadth,society
123,ENGR 248,breadth,society
124,HISTORY 244F,breadth,society
125,INTLPOL 268,breadth,society
126,LAW 4039,breadth,society
127,ME 177,breadth,society
128,MS&E 193,breadth,society
129,MS&E 231,breadth,society
130,MS&E 234,breadth,society
131,MS&E 254,breadth,society
132,POLISCI 150A,breadth,society
133,PSYCH 215,breadth,society
134,PUBLPOL 103F,breadth,society
135,PUBLPOL 353B,breadth,society
136,CS 221,depth,a
137,CS 223A,depth,b
138,CS 224N,depth,b
139,CS 224S,depth,b
140,CS 224U,depth,b
141,CS 224V,depth,b
142,CS 224W,depth,b
143,CS 228,depth,b
144,CS 229,depth,b
145,CS 231A,depth,b
146,CS 231N,depth,b
147,CS 234,depth,b
148,CS 237A,depth,b
149,CS 237B,depth,b
150,CS 238,depth,b
151,CS 205L,depth,c
152,CS 224R,depth,c
153,CS 225A,depth,c
154,CS 227B,depth,c
155,CS 229M,depth,c
156,CS 230,depth,c
157,CS 233,depth,c
158,CS 235,depth,c
159,CS 236,depth,c
160,CS 239,depth,c
161,CS 246,depth,c
162,CS 257,depth,c
163,CS 270,depth,c
164,CS 271,depth,c
165,CS 273A,depth,c
166,CS 273B,depth,c
167,CS 274,depth,c
168,CS 275,depth,c
169,CS 279,depth,c
170,CS 281,depth,c
171,CS 322,depth,c
172,CS 324,depth,c
173,CS 325B,depth,c
174,CS 326,depth,c
175,CS 327A,depth,c
176,CS 329,depth,c
177,CS 330,depth,c
178,CS 331B,depth,c
179,CS 332,depth,c
180,CS 333,depth,c
181,CS 345,depth,c
182,CS 348N,depth,c
183,CS 361,depth,c
184,CS 368,depth,c
185,CS 371,depth,c
186,CS 375,depth,c
187,CS 377,depth,c
188,CS 379,depth,c
189,CS 398,depth,c
190,CS 399,depth,c
191,CS 428A,depth,c
192,CS 428B,depth,c
193,CS 432,depth,c
194,EE 263,depth,c
195,EE 276,depth,c
196,EE 278,depth,c
197,EE 364A,depth,c
198,EE 364B,depth,c
199,EE 378B,depth,c
200,ENGR 205,depth,c
201,ENGR 209A,depth,c
202,MS&E 226,depth,c
203,MS&E 252,depth,c
204,PSYCH 209,depth,c
205,STATS 202,depth,c
206,STATS 315A,depth,c
207,STATS 315B,depth,c
